mu	sm	N	dims	filename	mu	r	m	N	range1	range2	ntypes	sb	sm	nsteps	stepsize	sigma	final0	final1	final2	time0	time1	time2	size0	size1	size2	hit100.0	hit100.1	hit100.2
mu1e-5	sm-.0001	N-100	1D	80405-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.299594812009604	0.969445198251168	NA	24975	6850	NA	402	99	NA	900	5125	NA
mu1e-5	sm-.0001	N-100	1D	80450-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.2220040345536	0.905158048143123	NA	24975	9050	NA	402	99	NA	8375	7250	NA
mu1e-5	sm-.0001	N-100	1D	85358-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.743473181356897	0.977993869038645	NA	24975	20475	NA	402	99	NA	2775	1250	NA
mu1e-5	sm-.0001	N-100	1D	85474-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.255532041286107	0.890017588823559	NA	24975	5550	NA	402	99	NA	3850	2300	NA
mu1e-5	sm-.0001	N-100	1D	86280-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.322085591940794	0.941770440725665	NA	24975	16375	NA	402	99	NA	8575	13275	NA
mu1e-5	sm-.0001	N-100	1D	88203-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.330582658845078	0.967200864365043	NA	24975	8275	NA	402	99	NA	7800	6675	NA
mu1e-5	sm-.0001	N-100	1D	8828-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.377590529937378	0.954617819990954	NA	24975	5725	NA	402	99	NA	3875	2150	NA
mu1e-5	sm-.0001	N-100	1D	89093-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.189912130887849	0.9146570179406	NA	24975	13725	NA	402	99	NA	4050	12875	NA
mu1e-5	sm-.0001	N-100	1D	90037-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.348684933541249	0.950969897984823	NA	24975	3500	NA	402	99	NA	350	2175	NA
mu1e-5	sm-.0001	N-100	1D	90594-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.479451622484592	0.979469320066335	NA	24975	2900	NA	402	99	NA	1475	450	NA
mu1e-5	sm-.0001	N-100	1D	9106-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.313364149402242	0.961921704608272	NA	24975	5625	NA	402	99	NA	2575	1725	NA
mu1e-5	sm-.0001	N-100	1D	91333-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.562779881686097	0.981457359666315	NA	24975	2200	NA	402	99	NA	775	350	NA
mu1e-5	sm-.0001	N-100	1D	92580-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.509865721145516	0.965982712699131	NA	24975	3350	NA	402	99	NA	1500	1700	NA
mu1e-5	sm-.0001	N-100	1D	92805-r1-501-sb0.01-sm-1e-04-N100-pophistory-run.Rdata	1e-05	0.3	0.2	100	1	501	2	0.01	-1e-04	1000	25	0.953770108230929	0.574273161555407	0.964945977184783	NA	24975	6650	NA	402	99	NA	5200	3675	NA
